tanggal,nama_provinsi,lat,lon,hujan_mm,suhu_rata,kelembaban_tanah,persentase_penduduk_miskin
2024-10-26,ACEH,4.6951,96.7494,4.1,20.0,0.416,14.23
2024-10-27,ACEH,4.6951,96.7494,4.4,19.9,0.464,14.23
2024-10-28,ACEH,4.6951,96.7494,1.3,20.3,0.468,14.23
2024-10-29,ACEH,4.6951,96.7494,2.1,20.1,0.471,14.23
2024-10-30,ACEH,4.6951,96.7494,0.5,20.1,0.468,14.23
2024-10-31,ACEH,4.6951,96.7494,0.8,20.4,0.461,14.23
2024-11-01,ACEH,4.6951,96.7494,0.9,20.4,0.448,14.23
2024-11-02,ACEH,4.6951,96.7494,0.5,20.7,0.439,14.23
2024-11-03,ACEH,4.6951,96.7494,17.1,19.7,0.461,14.23
2024-11-04,ACEH,4.6951,96.7494,11.8,20.0,0.491,14.23
2024-11-05,ACEH,4.6951,96.7494,15.9,19.4,0.504,14.23
2024-11-06,ACEH,4.6951,96.7494,12.3,19.2,0.501,14.23
2024-11-07,ACEH,4.6951,96.7494,8.0,19.9,0.497,14.23
2024-11-08,ACEH,4.6951,96.7494,7.0,19.8,0.498,14.23
2024-11-09,ACEH,4.6951,96.7494,3.7,19.8,0.494,14.23
2024-11-10,ACEH,4.6951,96.7494,3.2,20.3,0.502,14.23
2024-11-11,ACEH,4.6951,96.7494,17.6,20.3,0.501,14.23
2024-11-12,ACEH,4.6951,96.7494,2.9,19.9,0.495,14.23
2024-11-13,ACEH,4.6951,96.7494,14.6,19.9,0.5,14.23
2024-11-14,ACEH,4.6951,96.7494,25.3,19.9,0.498,14.23
2024-11-15,ACEH,4.6951,96.7494,13.2,19.6,0.5,14.23
2024-11-16,ACEH,4.6951,96.7494,17.4,19.8,0.499,14.23
2024-11-17,ACEH,4.6951,96.7494,7.3,19.9,0.505,14.23
2024-11-18,ACEH,4.6951,96.7494,12.1,19.5,0.493,14.23
2024-11-19,ACEH,4.6951,96.7494,1.6,19.2,0.482,14.23
2024-11-20,ACEH,4.6951,96.7494,8.5,20.1,0.487,14.23
2024-11-21,ACEH,4.6951,96.7494,24.4,19.6,0.505,14.23
2024-11-22,ACEH,4.6951,96.7494,45.5,20.4,0.505,14.23
2024-11-23,ACEH,4.6951,96.7494,16.7,20.4,0.5,14.23
2024-11-24,ACEH,4.6951,96.7494,25.6,20.7,0.502,14.23
2024-11-25,ACEH,4.6951,96.7494,35.6,20.8,0.498,14.23
2024-11-26,ACEH,4.6951,96.7494,21.7,20.6,0.509,14.23
2024-11-27,ACEH,4.6951,96.7494,4.4,20.6,0.502,14.23
2024-11-28,ACEH,4.6951,96.7494,4.8,20.3,0.487,14.23
2024-11-29,ACEH,4.6951,96.7494,2.3,20.4,0.483,14.23
2024-11-30,ACEH,4.6951,96.7494,7.1,20.4,0.477,14.23
2024-12-01,ACEH,4.6951,96.7494,7.7,20.8,0.492,14.23
2024-12-02,ACEH,4.6951,96.7494,16.1,19.9,0.49,14.23
2024-12-03,ACEH,4.6951,96.7494,27.5,19.8,0.501,14.23
2024-12-04,ACEH,4.6951,96.7494,30.8,20.3,0.505,14.23
2024-12-05,ACEH,4.6951,96.7494,12.2,20.7,0.502,14.23
2024-12-06,ACEH,4.6951,96.7494,29.4,20.3,0.502,14.23
2024-12-07,ACEH,4.6951,96.7494,15.9,20.9,0.494,14.23
2024-12-08,ACEH,4.6951,96.7494,15.2,20.2,0.494,14.23
2024-12-09,ACEH,4.6951,96.7494,8.6,20.1,0.499,14.23
2024-12-10,ACEH,4.6951,96.7494,6.2,20.1,0.486,14.23
2024-12-11,ACEH,4.6951,96.7494,5.7,20.6,0.497,14.23
2024-12-12,ACEH,4.6951,96.7494,0.2,20.1,0.472,14.23
2024-12-13,ACEH,4.6951,96.7494,1.7,20.7,0.451,14.23
2024-12-14,ACEH,4.6951,96.7494,1.1,21.5,0.439,14.23
2024-12-15,ACEH,4.6951,96.7494,1.4,21.1,0.422,14.23
2024-12-16,ACEH,4.6951,96.7494,9.8,20.5,0.433,14.23
2024-12-17,ACEH,4.6951,96.7494,8.0,20.1,0.43,14.23
2024-12-18,ACEH,4.6951,96.7494,16.4,20.4,0.478,14.23
2024-12-19,ACEH,4.6951,96.7494,21.3,20.0,0.501,14.23
2024-12-20,ACEH,4.6951,96.7494,8.1,20.1,0.496,14.23
2024-12-21,ACEH,4.6951,96.7494,3.1,19.6,0.502,14.23
2024-12-22,ACEH,4.6951,96.7494,12.1,19.5,0.501,14.23
2024-12-23,ACEH,4.6951,96.7494,24.8,20.2,0.505,14.23
2024-12-24,ACEH,4.6951,96.7494,29.6,19.7,0.503,14.23
2024-12-25,ACEH,4.6951,96.7494,1.4,20.0,0.491,14.23
2024-12-26,ACEH,4.6951,96.7494,0.5,20.6,0.469,14.23
